District,2006 07,2007 08,2008 09,2009 10,2010 11,2011 12,2012 13,2013 14,2014 15,2015 16,2016 17
Andover School District,1780,1663,72469,106075,98500,113980,216242,196034,50457,78564,78327
Ansonia School District,2410424,2183562,1935880,2174046,2654469,2781509,2965910,3656009,4120043,4512942,5271316
Ashford School District,544095,534395,365356,270555,275469,184918,207689,225216,349950,316391,144083
Avon School District,1200600,1374466,1527924,1609023,1664442,2028219,1861334,2095504,2444892,2857638,3054368
Barkhamsted School District,0,0,31251,94167,72913,70796,50163,111968,91916,155256,132074
Berlin School District,870773,1014001,1115739,1386839,1537176,1559165,1405967,1474936,1699644,1336309,1911775
Bethany School District,58610,82573,155217,215419,392395,288315,85985,41058,0,36859,58198
Bethel School District,1145982,1347049,1465501,1472672,1575818,1358454,1205073,1289075,1576129,1131054,1457728
Bloomfield School District,2258457,2036351,2074799,1616675,1412653,1446617,1080705,1135690,1675045,2221065,2653929
Bolton School District,355583,442998,485989,562410,527932,587880,678852,803911,693884,458674,583156
Bozrah School District,333272,502689,734417,753081,761080,578804,534221,449596,573225,506275,330242
Branford School District,2226113,2399779,2691301,2571754,2821612,2760691,2899489,2935177,2616402,2679996,2655007
Bridgeport School District,14084587,14737281,15111484,17464221,18202250,18274379,15905846,16687833,20534295,22615270,22912178
Bristol School District,3720025,4168309,4471502,4784838,5550095,6109538,6206019,7106948,7285338,7092082,5757289
Brookfield School District,501252,699895,1364034,1098674,0,699704,625300,508883,1435682,1036190,1216537
Brooklyn School District,917426,1003595,864769,855132,988263,1151931,1352459,1534871,1540291,1682542,1825185
Canaan School District,57170,11940,81756,61177,0,0,0,0,213,20637,0
Canterbury School District,827370,851587,972818,831148,720268,870643,1015518,1243971,1202153,756537,813253
Canton School District,601338,798375,869758,980319,996498,1042494,828867,823063,884894,701197,710026
Chaplin School District,0,4420,4692,0,0,1672,9281,30904,64764,40395,111073
Cheshire School District,1220870,1315668,1465226,1723725,2011328,1940195,2151991,2118936,2475562,2327685,1885370
Chester School District,39460,47981,26169,18204,16455,31143,68442,9638,18562,13877,11574
Clinton School District,825793,936224,971459,1100217,1487683,1437739,1116050,1054947,1047569,873787,801583
Colchester School District,1572545,1638680,1370861,1842532,1865657,1730985,1910358,1770594,1983842,2260568,2525799
Colebrook School District,51410,103002,90827,130911,162952,101640,49724,73676,73993,65447,144292
Columbia School District,561290,593867,611005,567063,614916,814011,976840,1054341,1106096,1647352,1644867
Cornwall School District,275,0,103081,90444,57522,61773,76315,0,0,20838,44583
